"Name","Brand","Unit","Attribute 1","Attribute 2","Attribute 3"
"Color","(brand=Unknown)","(unit=???)","(attr=Majirul)","(attr=5)",
"Color","(brand=Unknown)","(unit=???)","(attr=Majirul)","(attr=3)",
"Color","(brand=Unknown)","(unit=???)","(attr=Majirul)","(attr=1)",
"Color","(brand=Unknown)","(unit=???)","(attr=Majirul)","(attr=7.35)",
"Color & Smooth","(brand=Dcash)","(unit=pcs)",,,
"Color Applying","(brand=Baty)","(unit=pcs)",,,
"Color Applying Brush","(brand=Unknown)","(unit=pcs)",,,
"Color Bati","(brand=Unknown)","(unit=pcs)","(attr=Multicolor)",,
"Color Holder","(brand=Unknown)","(unit=pcs)",,,
"Color Protect Daily Treatment","(brand=Keratin Ultimate)","(unit=???)",,,
"Color Spray","(brand=Unknown)","(unit=pcs)",,,
"Color Tray","(brand=Unknown)","(unit=pcs)",,,
"Comb","(brand=Unknown)","(unit=pcs)",,,
"Comb","(brand=Unknown)","(unit=pcs)","(size=big)",,
"Comb","(brand=Unknown)","(unit=pcs)","(attr=Brush)",,
"Conditionar","(brand=Unknown)","(unit=pcs)",,,
"Conditionar","(brand=Unknown)","(unit=pcs)",,,
"Conditioner","(brand=Unknown)","(unit=pcs)","(attr=After)","(attr=gold)",
"Cosmatic body Mould Mask","(brand=Unknown)","(unit=pcs)",,,
"Cosmatic V.C. Mineral Line body Mould Mask","(brand=Unknown)","(unit=pcs)",,,
"Cotton","(brand=Unknown)","(unit=pcs)",,,
"Cream Bath","(brand=Hair Spa)","(unit=box)","(attr=Nourising)","(attr=dry)",
"Cream Bath","(brand=Hair Spa)","(unit=box)","(attr=Vitalising)","(attr=nor)",
"Cup","(brand=Unknown)","(unit=???)",,,
"Cup Set","(brand=Unknown)","(unit=???)",,,
"Cuticale Oil","(brand=TNT)","(unit=pcs)",,,
"Darma Barsion","(brand=O3+)","(unit=box)",,,
"Developer","(brand=Loreal)","(unit=???)","(attr=20Vol)",,
"Developer","(brand=Loreal)","(unit=???)","(attr=40Vol)",,
"Ear Pin","(brand=Unknown)","(unit=pain)",,,
"Egg Protein","(brand=Caring)","(unit=pcs)",,,
"Electric Kettly","(brand=Unknown)","(unit=??)",,,
"Eucaliptus Oil","(brand=Aroma Magic)","(unit=pcs)",,,
"Eye Brow Pencil","(brand=Unknown)","(unit=pcs)",,,
"Eye Gel","(brand=Unknown)","(unit=pcs)",,,
"Eye Gletter","(brand=Unknown)","(unit=pcs)",,,
"Eye Lash","(brand=Unknown)","(unit=box)",,,
"Eye Lash","(brand=Unknown)","(unit=pcs)","(attr=kidly)",,
"Eye Lash","(brand=Unknown)","(unit=pcs)","(attr=Curler)",,
"Eye Lash","(brand=Unknown)","(unit=pcs)","(attr=gum)",,
"Eye Liner","(brand=Unknown)","(unit=pcs)",,,
"Eye Shadow","(brand=Unknown)","(unit=pcs)",,,
"Eye Shadow","(brand=Unknown)","(unit=pcs)","(size=big)",,
"Eye shadow brush","(brand=Unknown)","(unit=pkt)",,,
"Face Powder","(brand=Unknown)","(unit=pcs)",,,
"Face Tissue","(brand=Unknown)","(unit=pkt)","(attr=1Time)",,
"Face Towel","(brand=Unknown)","(unit=??)",,,
"Face Wash","(brand=Unknown)","(unit=pcs)",,,
"Facial Gel","(brand=Unknown)","(unit=pcs)",,,
